title,author,advisor,year,university,state,pages,subfield,is_sensitive,keywords_raw
Essays on Optimal Policy without Commitment,"Pei, Yun","Chari, Varadarajan V.",2015,University of Minnesota,Minnesota,115,Economic Theory,FALSE,Social sciences; Commitment; Financial friction; Fiscal policy; Sovereign default; Time consistency; Unemployment insurance; Commerce-Business; Labor economics; Economic theory; Business to business commerce; Economics; 0511:Economic theory; 0505:Commerce-Business; 0510:Labor economics; 0501:Economics
International market power in oil and strategic responses to climate policy,"Aljihrish, Khalid","Balistreri, Edward J.",2015,Colorado School of Mines,Colorado,130,Economics,FALSE,Social sciences; Carbon leakage; Climate policy; Energy economics; General equilibrium; Market power; Oil; Scandinavian studies; Economics; 0501:Economics; 0613:Scandinavian Studies
The Economic Effects of Licensure of Dietitians and Nutritionists and Social Workers,"Wolchik, Katharine C.","Thornton, Robert J.; Meyerhoefer, Chad D.",2015,Lehigh University,Pennsylvania,241,Labor Economics,FALSE,Social sciences; Dietitians and nutritionists; Health economics; Labor economics; Licensure; Occupational regulation; Social workers; Economics; 0510:Labor economics; 0501:Economics
Essays in the Political Economy of Natural Resource Booms,"Zambrano, Stanislao Humberto Maldonado","Sadoulet, Elisabeth",2015,"University of California, Berkeley",California,179,Agricultural Economics,FALSE,Social sciences; Development economics; Natural resources; Political economics; Agricultural economics; Economics; 0503:Agricultural economics; 0501:Economics
Emerging Issues in Fisheries Management: An Intersection of Institutional and Resource Economics,"Tokunaga, Kanae","Roumasset, James",2015,University of Hawai'i at Manoa,Hawaii,114,Aquatic sciences,FALSE,Social sciences; Biological sciences; Bioeconomic modeling; Fisheries economics; Insitiutional economics; Natural resource and environmental economics; Aquatic sciences; Environmental economics; Economics; 0792:Aquatic sciences; 0501:Economics; 0438:Environmental economics
Evaluating conservation agriculture production systems for smallholder subsistence farmers in the hill region of Nepal,"Paudel, Bikash","Chan, Catherine",2015,University of Hawai'i at Manoa,Hawaii,251,Agriculture,FALSE,Social sciences; Biological sciences; Health and environmental sciences; Conservation agriculture; Crop yield; Economic potential; Hill region; Nepal; Social network analysis; Agriculture; South Asian studies; Natural resource management; Environmental economics; Agricultural economics; Subsistence agriculture; Agricultural practices; Clean technology; Crop rotation; Intercropping; Small farms; Agricultural conservation; Tillage; Food security; Natural resources; Access to information; Soil quality; Soil degradation; Corn; Soil conservation; Agricultural production; Technology transfer; Farmers; Millet; Cover crops; Economics; 0473:Agriculture; 0503:Agricultural economics; 0438:Environmental economics; 0638:South Asian Studies; 0528:Natural Resource Management
Economic and Environmental Modeling of an Agricultural Watershed in the Mississippi Delta: Crop Selection Using an LP Model and Water Quality Impacts of Bioenergy Crops Using the AnnaAGNPS Model,"Wright, Rodney Eugene","Bouldin, Jennifer L.",2015,Arkansas State University,Arkansas,367,Agriculture,FALSE,Biological sciences; Social sciences; Health and environmental sciences; Agricultural watershed; Agriculture economics; Annagnps model; Bioenergy crops; Lp model; Water quality; Agriculture; Environmental science; Agricultural economics; Agricultural runoff; Environmental modeling; Agricultural practices; Energy crops; Sorghum; Alfalfa; Nutrient loading; Tillage; Ethanol; Nonpoint source pollution; Agricultural watersheds; Renewable fuels; Vegetables; Nutrient loss; Corn; Soybeans; Biofuels; Cover crops; Economics; 0473:Agriculture; 0503:Agricultural economics; 0768:Environmental science
"Modeling, empirics and policy implications of firm heterogeneity in international trade","Akgul, Zeynep","Villoria, Nelson B.; Hertel, Thomas W.",2015,Purdue University,Indiana,172,Agricultural Economics,FALSE,Social sciences; Average productivity; Computable general equilibrium; Elasticity of substitution; Extensive margin; Firm heterogeneity; International trade; Agricultural economics; Economics; 0503:Agricultural economics; 0501:Economics
Three Essays on the Deregulation Policy and Competition in Nigeria's Telecom Industry,"Dieli, Onochie J.","Kato, Mika",2015,Howard University,District of Columbia,178,Economic Theory,FALSE,Social sciences; Applied econometrics; Development economics; Industrial organization; International economics; Commerce-Business; Economic theory; Business to business commerce; Economics; 0511:Economic theory; 0505:Commerce-Business; 0501:Economics
The Role of Futures Markets for the Design and Performance of Incentive Based Environmental Policy A Study of the Sulfur Financial Instrument and European Union Allowance,"Lewis, Daniel A.","Manfredo, Mark R.; Smith, V. Kerry",2015,Arizona State University,Arizona,221,Economics,FALSE,Social sciences; EU carbon dioxide; Emission control; Futures market; US sulfur dioxide; Environmental economics; Economics; 0501:Economics; 0438:Environmental economics
Three essays on family economics,"Mai, Hui","Kim, Seik; Heath, Rachel",2015,University of Washington,Washington,136,Labor Economics,FALSE,Social sciences; Health and environmental sciences; Family relocation; Maternal health; Risky behavior; School mobility; Sibling fixed effects; Home economics; Labor economics; 0510:Labor economics; 0386:Home economics
Effects of behavioral and environmental factors on infant health,"Cil, Gulcan","Cameron, Trudy",2015,University of Oregon,Oregon,137,Economics,TRUE,Social sciences; Birth outcomes; Fracking; Heat waves; Infant health; Posted alcohol warnings; Prenatal alcohol exposure; Environmental economics; Economics; 0501:Economics; 0438:Environmental economics
"Environmental policy, greenhouse gas polluting inputs, and lifecycle analysis","Liu, Boying","Shumway, C.Richard; Espinola-Arredondo, Ana",2015,Washington State University,Washington,151,Agricultural Economics,FALSE,Social sciences; Agricultural production; Biofuel production; Environmental policy; Greenhouse gases; Lifecyle analysis; Environmental economics; Agricultural economics; Economics; 0503:Agricultural economics; 0501:Economics; 0438:Environmental economics
Essays in Applied Microeconomics,"Soldani, Emilia","Fernandez, Raquel",2015,New York University,New York,147,Labor Economics,FALSE,Social sciences; Childcare; Development economics; Female labor supply; Ghana; Price information; Rural markets; Labor economics; Economics; 0510:Labor economics; 0501:Economics
Three essays in economics,"Fraiberger, Samuel Paul","Gabaix, Xavier; Lizzeri, Alessandro",2015,New York University,New York,174,Economics,FALSE,Social sciences; Behavioral economics; Finance; Industrial organization; Interest rates; Economics; 0501:Economics
Essays on development economics and industrial organization,"Young, Nathaniel","Mookherjee, Dilip",2015,Boston University,Massachusetts,155,Labor Economics,FALSE,Social sciences; Bank branches; Developing countries; Economic growth; Industrial organization; Labor economics; Labor relations; Economics; 0510:Labor economics; 0501:Economics; 0629:Labor relations
Ecological regionalism: A synthesis of ecological economics and organicist regionalism,"Wagner, Richard Thomas","Forstater, Mathew",2015,University of Missouri - Kansas City,Missouri,232,Economics,FALSE,"Social sciences; Ecological economics; Institutionalism; Mumford, Lewis; Regional sustainability; Regionalism; Sustainability; Environmental economics; Economics; 0501:Economics; 0438:Environmental economics"
Three Essays with Spatial Considerations in Natural Resource and Development Economics,"Hochard, Jacob","Barbier, Edward; Finnoff, David",2015,University of Wyoming,Wyoming,154,Economics,TRUE,Social sciences; Development economics; Economic inequality; Natural resource management; Poverty; Wildlife management; Environmental economics; Economics; 0501:Economics; 0438:Environmental economics
Modeling economies and ecosystems in general equilibrium,"Woollacott, Jared","Sue Wing, Ian J.",2015,Boston University,Massachusetts,193,Ecology,FALSE,Social sciences; Biological sciences; Bioeconomics; Ecosystem modeling; Electricity; Food web; General equilibrium; Pollution abatement; Ecology; Environmental economics; Economics; 0329:Ecology; 0501:Economics; 0438:Environmental economics
Earnings risk and the U.S. housing market,"Oberg, Phillip Michael","Drewianka, Scott",2015,The University of Wisconsin - Milwaukee,Wisconsin,121,Labor Economics,TRUE,Social sciences; Asymmetric information; Business cycle; Discrimination; Earnings instability; Family structure; Homeownership; Inequality; Mortgage market; Labor economics; Economics; 0510:Labor economics; 0501:Economics
"Essays in matching, auctions, and evolution","Zhang, Hanzhe","Reny, Philip J.; Becker, Gary S.",2015,The University of Chicago,Illinois,226,Economic Theory,FALSE,Social sciences; Auctions; Evolutionary economics; Marriage market; Posted prices; Premarital investments; Economic theory; Economics; 0511:Economic theory; 0501:Economics
